
                        BEAST v2.6.7, 2002-2022
             Bayesian Evolutionary Analysis Sampling Trees
                       Designed and developed by
 Remco Bouckaert, Alexei J. Drummond, Andrew Rambaut & Marc A. Suchard
                                    
                   Centre for Computational Evolution
                         University of Auckland
                       r.bouckaert@auckland.ac.nz
                        alexei@cs.auckland.ac.nz
                                    
                   Institute of Evolutionary Biology
                        University of Edinburgh
                           a.rambaut@ed.ac.uk
                                    
                    David Geffen School of Medicine
                 University of California, Los Angeles
                           msuchard@ucla.edu
                                    
                      Downloads, Help & Resources:
                           http://beast2.org/
                                    
  Source code distributed under the GNU Lesser General Public License:
                   http://github.com/CompEvol/beast2
                                    
                           BEAST developers:
   Alex Alekseyenko, Trevor Bedford, Erik Bloomquist, Joseph Heled, 
 Sebastian Hoehna, Denise Kuehnert, Philippe Lemey, Wai Lok Sibon Li, 
Gerton Lunter, Sidney Markowitz, Vladimir Minin, Michael Defoin Platel, 
          Oliver Pybus, Tim Vaughan, Chieh-Hsi Wu, Walter Xie
                                    
                               Thanks to:
          Roald Forsberg, Beth Shapiro and Korbinian Strimmer

Writing state to file Local_Example_Generic_no_initial_tree/2026-04-15_10-49-04/beast_outputs/run-with-seed-473831.state
Random number seed: 473831

Alignment(2023-03-01 56 WGS D8)
  52 taxa
  15894 sites
  166 patterns

PP_004FFJG.1 = 2024.1010928961748 (0.685678506375325)
PP_004FFKE.1 = 2024.1120218579235 (0.674749544626593)
PP_004FFLC.1 = 2024.122950819672 (0.6638205828780883)
PP_004FFMA.1 = 2024.1584699453551 (0.6283014571949934)
PP_004FFN8.1 = 2024.1612021857923 (0.6255692167578673)
PP_004FFP6.1 = 2024.1803278688524 (0.6064435336977567)
PP_004FFQ4.1 = 2024.1911429872496 (0.5956284153005527)
PP_004FFR2.1 = 2024.1911429872496 (0.5956284153005527)
PP_004FFS0.1 = 2024.1966074681238 (0.5901639344263003)
PP_004FFTY.1 = 2024.2239298724955 (0.5628415300545839)
42 more...
  Using BEAGLE version: 4.0.1 (PRE-RELEASE) resource 0: CPU (x86_64)
    with instance flags:  PRECISION_DOUBLE COMPUTATION_SYNCH EIGEN_REAL SCALING_MANUAL SCALERS_RAW VECTOR_SSE THREADING_NONE PROCESSOR_CPU FRAMEWORK_CPU
===============================================================================
Citations for this model:

Bouckaert, Remco, Timothy G. Vaughan, Joëlle Barido-Sottani, Sebastián Duchêne, Mathieu Fourment, 
Alexandra Gavryushkina, Joseph Heled, Graham Jones, Denise Kühnert, Nicola De Maio, Michael Matschiner, 
Fábio K. Mendes, Nicola F. Müller, Huw A. Ogilvie, Louis du Plessis, Alex Popinga, Andrew Rambaut, 
David Rasmussen, Igor Siveroni, Marc A. Suchard, Chieh-Hsi Wu, Dong Xie, Chi Zhang, Tanja Stadler, 
Alexei J. Drummond 
  BEAST 2.5: An advanced software platform for Bayesian evolutionary analysis. 
  PLoS computational biology 15, no. 4 (2019): e1006650.

Hasegawa M, Kishino H, Yano T (1985) Dating the human-ape splitting by a
  molecular clock of mitochondrial DNA. Journal of Molecular Evolution
  22:160-174.

===============================================================================
Start likelihood: -45246.348380832154 
Writing file Local_Example_Generic_no_initial_tree/2026-04-15_10-49-04/beast_outputs/run-with-seed-473831-BEAST.log
Writing file Local_Example_Generic_no_initial_tree/2026-04-15_10-49-04/beast_outputs/run-with-seed-473831-BEAST.trees
         Sample      posterior     likelihood          prior
              0    -45054.0161    -44901.7997      -152.2164 --
          10000    -24886.5479    -24759.7982      -126.7497 --
          20000    -24807.9901    -24694.1740      -113.8160 --
          30000    -24792.0632    -24696.3682       -95.6949 --
          40000    -24789.1553    -24695.5252       -93.6300 --
          50000    -24772.5917    -24698.9376       -73.6541 --
          60000    -24779.4923    -24704.0642       -75.4280 1m23s/Msamples
          70000    -24775.5205    -24702.9484       -72.5720 1m18s/Msamples
          80000    -24762.8392    -24691.4980       -71.3411 1m19s/Msamples
          90000    -24777.0949    -24693.5515       -83.5433 1m18s/Msamples
         100000    -24770.1738    -24695.4592       -74.7146 1m21s/Msamples
         110000    -24759.1930    -24695.9531       -63.2399 1m22s/Msamples
         120000    -24755.8470    -24700.9379       -54.9090 1m22s/Msamples
         130000    -24754.9408    -24698.7276       -56.2132 1m21s/Msamples
         140000    -24764.1893    -24706.2644       -57.9248 1m20s/Msamples
         150000    -24762.4321    -24695.5241       -66.9079 1m20s/Msamples
         160000    -24769.2596    -24705.6029       -63.6567 1m19s/Msamples
         170000    -24768.7189    -24703.2038       -65.5150 1m19s/Msamples
         180000    -24753.5842    -24698.5258       -55.0583 1m19s/Msamples
         190000    -24747.5787    -24695.1771       -52.4016 1m19s/Msamples
         200000    -24762.9505    -24702.0726       -60.8779 1m19s/Msamples
         210000    -24766.9983    -24701.4454       -65.5528 1m20s/Msamples
         220000    -24771.2177    -24699.0738       -72.1439 1m20s/Msamples
         230000    -24761.2646    -24693.1493       -68.1152 1m19s/Msamples
         240000    -24780.4604    -24696.5892       -83.8712 1m20s/Msamples
         250000    -24782.7166    -24697.8464       -84.8701 1m21s/Msamples
         260000    -24777.7459    -24692.7832       -84.9626 1m21s/Msamples
         270000    -24775.2416    -24702.1851       -73.0564 1m21s/Msamples
         280000    -24771.4794    -24703.0503       -68.4290 1m21s/Msamples
         290000    -24759.3208    -24697.8103       -61.5105 1m21s/Msamples
         300000    -24758.5629    -24699.2154       -59.3474 1m20s/Msamples
         310000    -24767.8587    -24698.4982       -69.3604 1m20s/Msamples
         320000    -24775.6261    -24699.8357       -75.7903 1m20s/Msamples
         330000    -24792.2451    -24706.9990       -85.2461 1m20s/Msamples
         340000    -24788.1477    -24699.7959       -88.3518 1m20s/Msamples
         350000    -24768.7027    -24696.2419       -72.4608 1m20s/Msamples
         360000    -24746.1596    -24697.7733       -48.3862 1m21s/Msamples
         370000    -24743.6470    -24695.5704       -48.0765 1m21s/Msamples
         380000    -24746.5221    -24693.9184       -52.6037 1m20s/Msamples
         390000    -24774.8521    -24699.0088       -75.8433 1m20s/Msamples
         400000    -24762.8582    -24700.0070       -62.8512 1m20s/Msamples
         410000    -24761.9731    -24692.1066       -69.8665 1m20s/Msamples
         420000    -24747.7638    -24701.6221       -46.1416 1m20s/Msamples
         430000    -24750.4901    -24700.8447       -49.6453 1m19s/Msamples
         440000    -24749.7963    -24702.3577       -47.4386 1m19s/Msamples
         450000    -24756.1192    -24701.4680       -54.6512 1m19s/Msamples
         460000    -24746.5954    -24699.3634       -47.2320 1m19s/Msamples
         470000    -24780.1643    -24700.1979       -79.9664 1m19s/Msamples
         480000    -24766.5029    -24696.8522       -69.6506 1m19s/Msamples
         490000    -24766.5323    -24691.9232       -74.6090 1m19s/Msamples
         500000    -24781.4388    -24693.7215       -87.7173 1m19s/Msamples
