
                        BEAST v2.6.7, 2002-2022
             Bayesian Evolutionary Analysis Sampling Trees
                       Designed and developed by
 Remco Bouckaert, Alexei J. Drummond, Andrew Rambaut & Marc A. Suchard
                                    
                   Centre for Computational Evolution
                         University of Auckland
                       r.bouckaert@auckland.ac.nz
                        alexei@cs.auckland.ac.nz
                                    
                   Institute of Evolutionary Biology
                        University of Edinburgh
                           a.rambaut@ed.ac.uk
                                    
                    David Geffen School of Medicine
                 University of California, Los Angeles
                           msuchard@ucla.edu
                                    
                      Downloads, Help & Resources:
                           http://beast2.org/
                                    
  Source code distributed under the GNU Lesser General Public License:
                   http://github.com/CompEvol/beast2
                                    
                           BEAST developers:
   Alex Alekseyenko, Trevor Bedford, Erik Bloomquist, Joseph Heled, 
 Sebastian Hoehna, Denise Kuehnert, Philippe Lemey, Wai Lok Sibon Li, 
Gerton Lunter, Sidney Markowitz, Vladimir Minin, Michael Defoin Platel, 
          Oliver Pybus, Tim Vaughan, Chieh-Hsi Wu, Walter Xie
                                    
                               Thanks to:
          Roald Forsberg, Beth Shapiro and Korbinian Strimmer

Writing state to file Local_Example_Generic_no_initial_tree/2026-04-15_10-49-04/beast_outputs/run-with-seed-77351.state
Random number seed: 77351

Alignment(2023-03-01 56 WGS D8)
  52 taxa
  15894 sites
  166 patterns

PP_004FFJG.1 = 2024.1010928961748 (0.685678506375325)
PP_004FFKE.1 = 2024.1120218579235 (0.674749544626593)
PP_004FFLC.1 = 2024.122950819672 (0.6638205828780883)
PP_004FFMA.1 = 2024.1584699453551 (0.6283014571949934)
PP_004FFN8.1 = 2024.1612021857923 (0.6255692167578673)
PP_004FFP6.1 = 2024.1803278688524 (0.6064435336977567)
PP_004FFQ4.1 = 2024.1911429872496 (0.5956284153005527)
PP_004FFR2.1 = 2024.1911429872496 (0.5956284153005527)
PP_004FFS0.1 = 2024.1966074681238 (0.5901639344263003)
PP_004FFTY.1 = 2024.2239298724955 (0.5628415300545839)
42 more...
  Using BEAGLE version: 4.0.1 (PRE-RELEASE) resource 0: CPU (x86_64)
    with instance flags:  PRECISION_DOUBLE COMPUTATION_SYNCH EIGEN_REAL SCALING_MANUAL SCALERS_RAW VECTOR_SSE THREADING_NONE PROCESSOR_CPU FRAMEWORK_CPU
===============================================================================
Citations for this model:

Bouckaert, Remco, Timothy G. Vaughan, Joëlle Barido-Sottani, Sebastián Duchêne, Mathieu Fourment, 
Alexandra Gavryushkina, Joseph Heled, Graham Jones, Denise Kühnert, Nicola De Maio, Michael Matschiner, 
Fábio K. Mendes, Nicola F. Müller, Huw A. Ogilvie, Louis du Plessis, Alex Popinga, Andrew Rambaut, 
David Rasmussen, Igor Siveroni, Marc A. Suchard, Chieh-Hsi Wu, Dong Xie, Chi Zhang, Tanja Stadler, 
Alexei J. Drummond 
  BEAST 2.5: An advanced software platform for Bayesian evolutionary analysis. 
  PLoS computational biology 15, no. 4 (2019): e1006650.

Hasegawa M, Kishino H, Yano T (1985) Dating the human-ape splitting by a
  molecular clock of mitochondrial DNA. Journal of Molecular Evolution
  22:160-174.

===============================================================================
Start likelihood: -46177.73570141175 
Writing file Local_Example_Generic_no_initial_tree/2026-04-15_10-49-04/beast_outputs/run-with-seed-77351-BEAST.log
Writing file Local_Example_Generic_no_initial_tree/2026-04-15_10-49-04/beast_outputs/run-with-seed-77351-BEAST.trees
         Sample      posterior     likelihood          prior
              0    -46177.7357    -46066.0612      -111.6744 --
          10000    -24871.4827    -24740.3818      -131.1009 --
          20000    -24807.3934    -24691.6297      -115.7636 --
          30000    -24793.9725    -24701.1730       -92.7995 --
          40000    -24805.2837    -24694.2757      -111.0079 --
          50000    -24807.0055    -24700.4319      -106.5736 --
          60000    -24800.6400    -24689.7617      -110.8783 1m34s/Msamples
          70000    -24773.8838    -24689.7793       -84.1044 1m31s/Msamples
          80000    -24776.3773    -24702.3688       -74.0085 1m30s/Msamples
          90000    -24780.1674    -24694.7187       -85.4487 1m27s/Msamples
         100000    -24769.8822    -24706.9118       -62.9704 1m27s/Msamples
         110000    -24757.0186    -24695.9016       -61.1170 1m25s/Msamples
         120000    -24747.2450    -24703.2366       -44.0083 1m24s/Msamples
         130000    -24763.8186    -24701.2423       -62.5763 1m24s/Msamples
         140000    -24766.6511    -24701.4451       -65.2060 1m25s/Msamples
         150000    -24770.0076    -24697.5608       -72.4468 1m24s/Msamples
         160000    -24767.9936    -24696.5896       -71.4040 1m25s/Msamples
         170000    -24768.2573    -24695.6400       -72.6172 1m24s/Msamples
         180000    -24759.9131    -24694.3688       -65.5442 1m24s/Msamples
         190000    -24770.8063    -24695.5245       -75.2817 1m22s/Msamples
         200000    -24754.6938    -24702.1490       -52.5448 1m22s/Msamples
         210000    -24751.0262    -24708.3976       -42.6285 1m21s/Msamples
         220000    -24759.1214    -24703.7448       -55.3766 1m21s/Msamples
         230000    -24775.5584    -24707.9457       -67.6126 1m21s/Msamples
         240000    -24770.6128    -24695.5459       -75.0668 1m21s/Msamples
         250000    -24781.9014    -24699.7576       -82.1437 1m20s/Msamples
         260000    -24756.6353    -24695.8520       -60.7833 1m21s/Msamples
         270000    -24770.8802    -24702.5475       -68.3326 1m21s/Msamples
         280000    -24753.7601    -24693.5336       -60.2264 1m20s/Msamples
         290000    -24784.5979    -24705.4836       -79.1143 1m21s/Msamples
         300000    -24757.4430    -24697.0599       -60.3831 1m21s/Msamples
         310000    -24754.9430    -24691.6308       -63.3122 1m21s/Msamples
         320000    -24775.0554    -24698.0441       -77.0113 1m21s/Msamples
         330000    -24777.0712    -24700.6839       -76.3873 1m21s/Msamples
         340000    -24760.9525    -24700.2081       -60.7444 1m21s/Msamples
         350000    -24755.7475    -24702.2397       -53.5078 1m21s/Msamples
         360000    -24763.9241    -24693.9455       -69.9785 1m21s/Msamples
         370000    -24766.6277    -24710.3535       -56.2741 1m22s/Msamples
         380000    -24763.9167    -24694.9197       -68.9969 1m21s/Msamples
         390000    -24777.1419    -24697.3633       -79.7785 1m21s/Msamples
         400000    -24758.0663    -24695.6143       -62.4519 1m21s/Msamples
         410000    -24780.2225    -24699.2869       -80.9355 1m21s/Msamples
         420000    -24774.6685    -24696.0288       -78.6397 1m21s/Msamples
         430000    -24769.5400    -24704.9926       -64.5474 1m21s/Msamples
         440000    -24777.1604    -24702.4817       -74.6787 1m20s/Msamples
         450000    -24770.8168    -24705.7766       -65.0401 1m20s/Msamples
         460000    -24763.9978    -24703.3395       -60.6583 1m20s/Msamples
         470000    -24764.9799    -24704.9807       -59.9992 1m20s/Msamples
         480000    -24764.9052    -24706.3042       -58.6010 1m20s/Msamples
         490000    -24784.6940    -24700.8050       -83.8889 1m20s/Msamples
         500000    -24785.5952    -24698.4753       -87.1198 1m20s/Msamples
